quelle,index_string,inhalt,index_binar
000:ballast,ballast,ballast,0
zyx_cc_deu_deu_1,a300:F:Menschliche_Opfergabe_beheben:rHD:,johannes wassersprung kam in eine stadt da war alles still und traurig weil die prinzessin einem drachen sollte geopfert werden der das ganze land verwuestete und anders nicht konnte besaenftigt werden es war bekannt gemacht wer sein leben daran wagen wolle und den drachen toedte der solle die prinzessin zur gemahlin haben niemand aber hatte sich gefunden auch hatte man das unthier hintergehen wollen und die kammerjungfer der prinzessin hinausgeschickt aber die hatte es gleich erkannt und nicht gewollt johannes wassersprung dachte du musst dein glueck auf die probe stellen vielleicht gelingt dirs und machte sich mit seiner begleitung auf gegen das drachennest,1
zyx_cc_deu_deu_1,a300:H:Zweikampf:rHD:,der kampf war gewaltig der drache spie feuer und flammen und zuendete das gras rings herum an so dass johannes wassersprung gewiss erstickt waere wenn nicht has hund und baer das feuer ausgetreten und gedaempft haetten endlich musste der drache aber unterliegen und johannes wassersprung hieb ihm seine sieben koepfe herunter dann schnitt er die zungen heraus und steckte sie zu sich nun aber war er so mued dass er sich auf der stelle niederlegte und einschlief,1
zyx_cc_deu_deu_1,a300:h:Missetat_Țtung:rHD_fHD:,waehrend er da schlief kam der kutscher der prinzessin und als er den mann da liegen sah und die sieben drachenkoepfe daneben dachte er das musst du dir zu nutz machen stach den johannes wassersprung todt und nahm die sieben drachenkoepfe mit,1
zyx_cc_deu_deu_1,a300:h:Vertrag_appelieren:rHP_fHD:,damit ging er zum koenig sagte er habe das ungeheuer getoedtet die sieben koepfe bringe er zum wahrzeichen und die prinzessin ward seine braut,1
zyx_cc_deu_deu_1,a300:F:Wiederbelebung:rHD_rHF:,indessen kamen die thiere des johannes wassersprung die nach dem kampf sich in die naehe gelagert und auch geschlafen hatten wieder zurueck und fanden ihren herrn todt da sahen sie wie die ameisen denen bei dem kampf ihr huegel zertreten war ihre todten mit dem saft einer nahen eiche bestrichen wovon sie sogleich wieder lebendig wurden der baer ging und holte von dem saft und bestrich den johannes wassersprung davon erholte er sich wieder und in kurzem war er ganz frisch und gesund er gedachte nun an die prinzessin die er sich erkaempft hatte und eilte in die stadt,1
zyx_cc_deu_deu_1,a300:F:Zwangsehe_Drohung:rHD_rVB:,da ward eben die hochzeit mit dem kutscher gefeiert und die leute sagten der habe den siebenkoepfigen drachen getoedtet,1
zyx_cc_deu_deu_1,a300:H:Kontakt_wiederherstellen:rHD_rPP_fHD:,hund und baer liefen ins schloss wo ihnen die prinzessin braten und wein um den hals band und ihren dienern befahl sie sollten den thieren nachgehen und den mann dem sie angehoerten zur hochzeit laden so kam johannes wassersprung auf die hochzeit und gerade ward die schuessel mit den sieben drachenkoepfen aufgetragen die der kutscher mitgebracht hatte johannes wassersprung zog die sieben zungen hervor und legte sie dabei da ward er als der rechte drachentoedter erkannt der kutscher fortgejagt und er der gemahl der prinzessin,1
zyx_cr_lit_deu_1,a300:F:Menschliche_Opfergabe_beheben:rHD_rVB:, darauf ritten davon ritt wald andre blieb weg und wald ritt kam haeuschen darin fand blutarmen schuster traurig und fragte schuster warum traurig waere antwortete darum koenigs tochter drachen zugefuehrt soll verschlingen wird danach setzte schuster juengling abendessen vor ass legte schlafen,1
zyx_cr_lit_deu_1,a300:H:Zweikampf:rHD_rPP_rAN:,und naechsten morgen aufgestanden war ritt stein drache hauste und sieh kam kutsche koenigstochter herangefahren gab fahnen geleite bei stein stieg aus fuhren heim der kutscher aber hergefahren hatte fuhr stueckchen stein zurueck wartete dinge kommen wuerden jetzt trat juengling prinzessin zu allein prinzessin hilfe sprach es genug verschlingt verschlingen aber juengling sagte geh seite prinzessin gehorchte stellte pferd naehe steins wartete drachen jetzt kam neunkoepfiger drache hervorgekrochen drache sprach sind thoerichte menschen haben pferd geschickt allein juengling sprach du sollst schon genug haben drache darauf sagte du willst wol gar ringen stieg juengling pferd begannen kampf sie rangen rangen drache stiess juengling knie erdboden hinein geschwind sprang juengling erde heraus rangen wieder juenglings pferd hund rangen mit stiess juengling schwanz drachen erde der drache sprach wir bischen ausruhen da ruhten weilchen aus hund pferd thaten desgleichen dann begann kampf neuem sie rangen rangen schlug drache juengling hueften erde aber sprang schnell heraus ringen ging weiter stiess juengling drachen mitte leibs boden hieb sechs koepfe ab danach begann ringkampf rangen rangen schon drachen kraft ausgehn nahm ganz zusammen schlug juengling achseln boden allein juengling sprang geschwind erde heraus rangen weiter schlug juengling drachen fast kopf boden hieb drei uebrigen koepfe ab drache todt darauf zog juengling koepfen zungen aus versah zunge kopf zunge gehoerte zahl nahm zungen mit und sprach maedchen uebers jahr komm wieder hochzeit machen drauf zog dannen,1
zyx_cr_lit_deu_1,a300:h:Erpressen_des_Meineides:rHP_rPP_fHD:,die prinzessin ging kutscher setzte kutsche heimzufahren der kutscher holte erst neun koepfe alsdann fuhren ab unterwegs sagte kutscher prinzessin versprich mir frau willst toedte dich es bleibt gleich drache verschlingen ja toedten die prinzessin sagte ja dazu koenig kamen sprach kutscher koenig ich tochter drachen befreit rang neun koepfe abgehauen beide mann frau werden der koenig antwortete du kannst haben allein maedchen lust frau sprach warte jahr hochzeit machen,1
